run:
[50	7	0.4	0.3539	6.59	0.9575	5.32	1.2387	5.61	1.1747]
[50	7	0.45	0.4077	7.22	0.9515	5.75	1.2557	6.03	1.1973]
[50	7	0.5	0.4615	7.89	0.9544	6.18	1.2767	6.61	1.1936]
[50	7	0.55	0.5154	8.64	0.9606	6.69	1.2915	7.26	1.1901]
[50	7	0.6	0.5692	9.66	0.97	7.37	1.3107	7.98	1.2105]
[50	7	0.65	0.6231	10.7	0.9748	8.33	1.2845	8.62	1.2413]
[50	7	0.7	0.6769	12.3	0.9805	9.37	1.3127	9.97	1.2337]
[50	7	0.75	0.7308	14.54	0.9904	10.65	1.3653	11.16	1.3029]
[50	7	0.8	0.7846	17.18	0.9948	12.32	1.3945	13.18	1.3035]
[50	7	0.85	0.8385	21.06	0.9976	15.46	1.3622	16.35	1.2881]
[50	7	0.9	0.8923	27.1	0.9996	19.7	1.3756	20.65	1.3123]
[50	7	0.95	0.9462	35.82	1.0	27.21	1.3164	27.64	1.2959]
[50	8	0.05	0.016	4.07	1.0	2.08	1.9567	2.92	1.3938]
[50	8	0.1	0.0524	5.34	0.9981	2.91	1.8351	3.18	1.6792]
[50	8	0.15	0.0983	5.43	0.9982	3.12	1.7404	3.7	1.4676]
[50	8	0.2	0.1485	5.71	0.993	3.75	1.5227	4.01	1.4239]
[50	8	0.25	0.2007	5.57	0.9803	4.03	1.3821	4.45	1.2517]
[50	8	0.3	0.2536	5.66	0.9505	4.25	1.3318	4.83	1.1718]
[50	8	0.35	0.3067	6.0	0.945	4.75	1.2632	5.14	1.1673]
[50	8	0.4	0.36	6.44	0.9441	5.29	1.2174	5.51	1.1688]
[50	8	0.45	0.4133	6.9	0.942	5.64	1.2234	6.18	1.1165]
[50	8	0.5	0.4667	7.86	0.9517	6.36	1.2358	6.45	1.2186]
[50	8	0.55	0.52	8.29	0.9602	6.88	1.2049	7.11	1.166]
[50	8	0.6	0.5733	9.24	0.9675	7.62	1.2126	7.89	1.1711]
[50	8	0.65	0.6267	10.43	0.9732	8.31	1.2551	8.8	1.1852]
[50	8	0.7	0.68	12.04	0.9809	9.47	1.2714	10.02	1.2016]
[50	8	0.75	0.7333	14.01	0.99	10.71	1.3081	11.18	1.2531]
[50	8	0.8	0.7867	16.79	0.9952	12.76	1.3158	13.25	1.2672]
[50	8	0.85	0.84	19.96	0.9985	15.37	1.2986	16.24	1.2291]
[50	8	0.9	0.8933	25.55	0.9992	19.83	1.2885	20.53	1.2445]
[50	8	0.95	0.9467	34.77	1.0	27.51	1.2639	28.2	1.233]
[50	9	0.05	0.0175	4.05	1.0	2.09	1.9378	2.86	1.4161]
[50	9	0.1	0.0559	5.1	0.998	2.97	1.7172	3.12	1.6346]
[50	9	0.15	0.1032	5.46	0.9963	3.33	1.6396	3.77	1.4483]
[50	9	0.2	0.154	5.42	0.9779	3.76	1.4415	3.99	1.3584]
[50	9	0.25	0.2062	5.34	0.9551	4.07	1.312	4.38	1.2192]
[50	9	0.3	0.2589	5.53	0.9439	4.39	1.2597	4.82	1.1473]
[50	9	0.35	0.3118	5.78	0.9464	4.84	1.1942	5.15	1.1223]
[50	9	0.4	0.3647	6.34	0.9401	5.29	1.1985	5.7	1.1123]
[50	9	0.45	0.4176	6.83	0.9575	5.69	1.2004	6.11	1.1178]
[50	9	0.5	0.4706	7.58	0.9551	6.2	1.2226	6.55	1.1573]
[50	9	0.55	0.5235	8.1	0.9556	7.04	1.1506	7.18	1.1281]
[50	9	0.6	0.5765	9.08	0.9593	7.5	1.2107	7.91	1.1479]
[50	9	0.65	0.6294	10.17	0.9676	8.46	1.2021	8.86	1.1479]
[50	9	0.7	0.6824	11.81	0.9805	9.37	1.2604	9.95	1.1869]
[50	9	0.75	0.7353	13.48	0.9852	10.87	1.2401	11.25	1.1982]
[50	9	0.8	0.7882	15.68	0.9943	12.61	1.2435	13.03	1.2034]
[50	9	0.85	0.8412	19.68	0.9944	15.88	1.2393	16.11	1.2216]
[50	9	0.9	0.8941	24.95	1.0	20.28	1.2303	20.56	1.2135]
[50	9	0.95	0.9471	33.39	1.0	27.63	1.2085	27.55	1.212]
[50	10	0.05	0.0189	3.81	1.0	2.11	1.8057	2.86	1.3322]
[50	10	0.1	0.059	5.03	1.0	2.98	1.6879	3.21	1.567]
[50	10	0.15	0.1073	5.15	1.0	3.32	1.5512	3.7	1.3919]
[50	10	0.2	0.1585	5.23	0.9885	3.7	1.4135	4.1	1.2756]
[50	10	0.25	0.2107	5.13	0.9474	4.13	1.2421	4.36	1.1766]
[50	10	0.3	0.2632	5.48	0.9453	4.56	1.2018	4.85	1.1299]
[50	10	0.35	0.3158	5.89	0.9202	4.97	1.1851	5.26	1.1198]
[50	10	0.4	0.3684	6.21	0.9243	5.28	1.1761	5.64	1.1011]
[50	10	0.45	0.4211	6.68	0.9401	5.83	1.1458	6.04	1.106]
[50	10	0.5	0.4737	7.53	0.9429	6.3	1.1952	6.54	1.1514]
[50	10	0.55	0.5263	8.23	0.949	6.95	1.1842	7.32	1.1243]
[50	10	0.6	0.5789	9.26	0.9579	7.78	1.1902	7.94	1.1662]
[50	10	0.65	0.6316	10.45	0.9665	8.74	1.1957	8.9	1.1742]
[50	10	0.7	0.6842	11.35	0.9753	9.51	1.1935	9.87	1.1499]
[50	10	0.75	0.7368	13.3	0.9865	10.84	1.2269	11.51	1.1555]
[50	10	0.8	0.7895	15.79	0.9949	12.91	1.2231	13.13	1.2026]
[50	10	0.85	0.8421	19.32	0.9974	15.63	1.2361	15.97	1.2098]
[50	10	0.9	0.8947	24.81	1.0	20.05	1.2374	20.44	1.2138]
[50	10	0.95	0.9474	33.01	1.0	27.32	1.2083	28.16	1.1722]
[50	11	0.05	0.0202	4.05	1.0	2.2	1.8409	2.92	1.387]
[50	11	0.1	0.0618	4.85	0.9979	3.01	1.6113	3.16	1.5348]
[50	11	0.15	0.1109	4.92	0.9837	3.32	1.4819	3.73	1.319]
